INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1492','1983-07-26','1792','9003','4104');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9290','2013-10-16','7202','3936','5597');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7906','2008-10-22','1872','1111','4815');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6663','1988-06-13','4481','4156','4181');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4227','1982-07-23','5046','8194','6086');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6881','1990-05-25','2549','5068','6987');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('363','2000-10-19','3817','7709','5918');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8348','1985-02-25','5647','4600','4087');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('131','1971-11-19','4377','9037','842');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5872','2019-09-21','5988','4580','4419');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1841','1998-09-19','3928','2998','7206');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('268','1992-11-16','2080','5870','9502');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7727','1973-01-19','9145','5325','7737');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2672','2008-01-01','1743','1450','4791');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8263','2021-06-23','9943','7576','7457');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3311','2013-08-17','6087','3351','2593');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6559','2013-06-12','5345','4075','1924');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9029','1998-05-29','8004','1954','2955');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5620','2017-10-06','9748','7917','1639');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4190','1999-09-19','4376','7958','9518');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4441','1981-07-09','8857','3936','4061');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8718','2019-12-21','6779','877','1874');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('990','1976-03-04','9986','85','7723');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9991','2015-08-12','3652','5719','8343');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7450','2013-09-05','6656','6005','5444');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1428','1993-09-28','8232','9548','1226');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4079','1982-12-19','1765','9202','6636');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('836','1991-04-16','3714','750','2718');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7299','2019-02-02','9135','7780','6805');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2794','2006-12-06','8085','6308','6858');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1311','2018-11-21','3542','5042','8113');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9650','1997-05-05','5958','5323','870');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('598','1982-12-26','436','6314','3497');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5910','2015-03-07','6101','3639','338');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3595','1971-10-30','1997','1849','1905');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2458','1970-03-08','8242','7447','7500');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4842','1996-09-05','289','6136','8664');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4949','2013-10-30','6372','2809','2691');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3367','2000-05-26','1945','3329','4279');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8363','2000-09-11','2435','5140','4343');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9692','1990-11-09','2784','8026','5121');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1610','1990-12-17','729','381','5350');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9902','1980-01-25','7919','6311','4223');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1786','1985-07-06','8398','3890','280');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9232','2012-12-26','7699','9409','4805');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5770','2012-04-28','2816','8945','8102');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6609','1972-12-15','4427','9774','5992');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8609','2002-07-28','2576','8347','2788');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3685','2022-06-18','9354','1625','8535');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('869','2000-08-07','8064','682','5933');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1485','1995-06-22','3999','2312','2839');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9206','2007-02-09','4986','1586','6612');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7070','2016-01-20','1204','6705','9764');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4002','2004-11-07','2455','8431','2447');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1106','2006-07-24','850','1057','2157');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5068','2014-01-11','1589','7610','1534');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4614','2007-04-30','2789','9957','8051');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1294','1987-07-13','590','3082','8246');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9775','2007-02-23','6058','249','7905');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6606','2021-05-06','3985','911','9390');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7798','2014-06-21','9846','4814','7581');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3125','1999-11-28','3141','5887','2668');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4314','1995-09-19','8325','7173','2163');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7791','1984-07-01','7750','5870','3386');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9830','1991-05-07','7312','4955','3181');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('708','1982-11-22','3235','2544','9093');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6330','2011-10-01','999','2563','9615');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1272','1970-04-07','9162','6082','8453');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1303','1974-06-12','2840','7223','7926');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2877','1997-03-23','5461','3124','2908');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5668','2022-07-13','730','7770','5725');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1245','1983-01-10','3337','5059','8612');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4787','1972-03-09','5539','653','6346');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7894','1986-04-03','4498','2627','3299');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5857','1987-11-01','1534','4114','9240');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8744','1971-03-08','1419','4286','6745');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2233','2019-04-26','1795','2306','4627');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5924','2015-04-18','5305','5439','7022');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1227','1981-03-05','1590','3227','4773');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1458','2011-07-11','964','8212','3815');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5035','1983-12-29','325','9800','6598');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6781','1973-05-28','9713','8521','5895');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4645','1975-09-10','8584','8108','5447');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8776','1998-09-12','8927','7927','8019');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8838','1997-06-30','1892','7183','73');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7839','1992-05-12','2726','8914','1139');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('802','1992-01-31','9587','355','7515');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7131','1970-12-30','5821','2502','4420');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5790','1970-10-04','4042','1000','7576');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8049','2021-06-23','5914','9058','3213');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('259','1983-04-22','2663','4417','4643');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7142','1984-03-24','4748','4508','3102');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3459','1980-09-05','456','9063','7254');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5663','1990-10-19','7491','4620','7612');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5643','2015-10-03','6102','8985','1274');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7309','1982-02-12','6397','1660','3889');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2542','1991-08-27','7967','3550','1422');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9935','1982-05-30','7479','5869','5766');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2242','2003-07-25','3342','2685','8804');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8886','2016-01-13','3484','5846','8780');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1788','1974-02-15','9721','318','2484');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4416','2002-02-09','2452','5648','1316');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7251','1982-11-23','409','5058','3897');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5539','1998-10-06','2457','4770','7632');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9984','1999-05-22','1007','7496','200');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6967','2000-09-22','6066','251','1004');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('300','2010-10-28','9773','8988','4734');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2542','1976-02-20','9204','8559','1516');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3919','2000-11-26','6796','5425','7915');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7367','1975-07-10','7485','6152','9482');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('566','2014-05-17','3312','7867','5348');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8863','2007-06-13','454','2698','6028');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2398','1986-07-05','6199','5598','6326');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4052','1976-12-04','7647','1252','5267');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3819','1976-05-07','1247','9936','8653');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5333','1986-09-14','8504','6871','2628');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4369','1996-05-22','6364','5875','6840');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8797','2003-09-10','7591','5580','4717');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6595','1981-08-01','2433','2605','2878');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5308','1972-04-07','6153','437','9769');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('524','1983-08-27','3314','9207','4847');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2776','1997-04-18','8079','382','9723');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4733','1970-05-06','954','8527','3395');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2434','1975-05-10','4182','502','9682');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2429','1978-08-07','5048','7190','8459');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1455','1972-01-21','7123','8197','1640');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4851','1991-12-15','4871','3530','8886');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8526','1974-11-28','8837','340','6037');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7590','1987-09-27','9460','2490','2486');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('4702','1988-10-15','8712','27','771');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7144','2011-09-23','1590','1697','3733');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6462','1984-12-04','5767','3041','7907');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7661','2018-09-29','4227','9961','4385');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3619','2016-04-06','8511','6479','3910');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2491','1970-06-07','5701','63','4795');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1585','1983-08-23','1755','6524','9397');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7627','2010-03-20','525','2590','1646');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('2087','2005-12-09','8427','4578','1567');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1368','2011-03-27','3411','747','3544');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('9587','2007-07-07','4893','4322','3003');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7708','1982-05-01','8447','6217','1097');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3202','1999-05-03','9501','7156','3048');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('1695','2003-11-17','6262','4470','8284');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5975','1986-08-19','340','6714','2305');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5268','1972-11-28','1438','6013','7369');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7903','2010-12-28','4319','3518','9811');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('5825','1994-10-05','3696','1478','9503');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('635','1981-11-23','6923','3865','316');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('349','1995-04-17','2511','2928','5958');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('163','1979-06-07','3115','5372','2983');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3873','1990-08-06','4626','8783','7393');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6453','2005-02-20','6671','4724','5179');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('6504','1982-11-02','4661','8802','7090');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('8871','2007-01-24','7950','9427','4019');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('7701','1983-06-10','1784','93','4555');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('237','1975-03-31','1963','5099','1179');
INSERT INTO airport.Flights (AirportId, departureDate, destinationAirportId, airplaneId, pilotId) VALUES ('3103','2010-09-09','7343','4204','7356');
